Generations,Time,Distance,Route
100,1,43197.388336532254,https://autarc.github.io/traveling-salesman-problem/#39-89-2-64-20-98-61-78-38-68-21-4-58-31-30-91-1-63-9-10-17-88-70-99-35-22-50-14-62-74-45-36-48-28-32-37-18-12-60-53-79-81-55-96-16-77-33-83-86-26-67-13-34-11-90-75-41-29-52-59-6-24-42-69-51-49-8-80-65-15-73-56-3-92-84-94-82-85-87-47-57-76-66-23-43-54-46-93-40-25-100-97-72-19-27-44-5-71-95-7
100,1,38499.9078874934,https://autarc.github.io/traveling-salesman-problem/#47-82-73-54-49-5-75-1-4-67-97-26-30-90-74-86-16-31-57-62-50-33-79-27-20-87-64-68-36-35-56-38-28-17-21-14-12-53-37-29-55-8-71-51-13-85-81-80-2-76-77-95-89-84-39-100-83-34-42-92-46-19-59-44-96-52-15-18-78-63-99-65-32-94-93-88-23-66-10-72-9-98-45-91-22-7-24-43-25-69-41-48-60-61-70-3-40-6-11-58
100,0,45187.238692839004,https://autarc.github.io/traveling-salesman-problem/#35-100-12-2-39-5-60-48-41-17-24-52-58-56-73-70-19-46-6-99-31-15-25-65-33-27-20-23-51-67-63-88-28-7-90-3-4-87-85-10-61-14-75-55-34-49-21-59-11-43-40-44-45-81-68-92-95-76-72-86-37-71-91-8-13-22-74-94-93-36-57-78-9-79-77-18-62-38-96-82-50-69-26-97-64-98-16-66-89-29-42-30-1-80-83-84-47-54-32-53
100,0,42184.049239786415,https://autarc.github.io/traveling-salesman-problem/#66-56-13-18-85-19-37-14-9-69-83-75-32-92-4-49-87-72-58-95-48-82-20-74-45-42-65-67-41-33-78-59-3-61-89-2-73-17-76-93-47-5-22-57-80-23-96-44-91-35-11-21-6-99-88-16-60-71-51-90-50-98-94-12-8-97-63-86-15-62-30-34-28-43-29-100-68-81-77-40-24-1-36-55-7-70-64-54-53-26-38-10-46-31-25-39-79-84-27-52
100,0,43422.1322229698,https://autarc.github.io/traveling-salesman-problem/#47-82-6-31-73-70-91-39-23-88-21-85-72-50-60-3-97-67-58-28-27-1-20-89-19-75-78-7-38-37-33-99-63-79-93-52-98-2-55-96-15-87-4-30-8-12-10-77-17-45-29-41-14-80-25-40-59-34-11-94-9-74-51-65-81-90-49-71-68-69-46-22-24-16-84-26-53-100-35-36-48-5-57-86-13-43-62-18-83-66-95-44-76-42-61-32-54-56-64-92
100,0,39891.49853560708,https://autarc.github.io/traveling-salesman-problem/#34-58-33-4-49-75-16-55-7-87-79-67-57-89-35-41-50-93-76-28-83-30-62-63-29-23-80-56-53-40-22-96-39-100-11-43-52-44-95-84-66-94-46-9-8-98-92-72-47-6-27-13-14-26-82-60-71-85-74-18-32-77-99-97-68-51-88-31-59-10-3-5-91-1-15-64-42-37-19-21-48-73-17-61-2-45-12-78-20-38-70-86-54-81-65-90-25-24-69-36
100,0,38724.86379342817,https://autarc.github.io/traveling-salesman-problem/#63-20-89-96-18-61-22-7-35-33-93-6-9-32-73-12-60-65-91-64-77-53-37-94-72-70-44-31-47-88-45-58-41-46-17-26-50-13-71-14-1-85-49-15-90-3-82-97-57-24-43-39-100-84-34-55-30-81-76-95-21-74-69-87-51-27-56-54-25-52-40-29-5-98-66-2-19-59-10-4-23-16-38-78-36-42-62-83-67-86-11-80-48-92-79-28-99-75-8-68
100,3,44741.64099698165,https://autarc.github.io/traveling-salesman-problem/#95-23-87-67-49-100-77-37-45-20-26-75-29-35-78-25-39-44-99-54-27-7-90-81-53-10-70-74-92-97-32-33-52-40-18-22-17-68-60-80-93-30-21-56-84-71-42-96-36-11-9-62-86-38-57-19-73-72-58-28-3-15-8-98-16-41-59-64-91-66-89-88-83-63-65-94-47-5-6-50-2-31-1-51-46-79-61-69-48-34-43-24-55-76-82-4-13-85-12-14
100,0,42031.30451502303,https://autarc.github.io/traveling-salesman-problem/#75-97-3-30-42-40-57-99-44-12-92-24-59-2-77-74-7-23-61-63-4-79-53-5-35-96-49-21-32-95-78-14-43-68-90-55-69-47-36-87-81-34-83-85-22-39-25-80-64-62-8-71-100-29-45-13-10-73-26-82-91-65-9-37-93-46-41-60-67-11-48-51-58-27-66-16-15-18-72-19-28-98-52-1-33-50-70-38-94-31-89-84-20-6-76-54-17-86-88-56
1000,4,26185.81827735237,https://autarc.github.io/traveling-salesman-problem/#74-56-95-16-47-3-53-77-45-52-35-31-84-66-2-23-90-13-73-54-50-10-55-96-49-97-86-89-29-44-7-25-24-36-80-87-62-67-64-4-14-85-81-5-40-34-41-30-48-71-8-83-91-61-11-42-57-92-27-76-88-100-39-78-26-21-75-82-69-51-65-22-43-68-18-20-72-17-58-37-46-28-38-19-93-59-94-98-79-6-70-33-99-32-9-1-60-15-63-12
1000,5,27574.309152345864,https://autarc.github.io/traveling-salesman-problem/#1-12-85-3-84-89-35-52-100-96-94-28-56-77-50-72-4-97-64-55-2-31-98-9-26-78-20-92-99-53-18-60-8-69-34-7-30-41-42-39-43-40-25-13-15-47-57-59-6-16-45-22-67-75-21-63-14-82-58-76-66-17-38-23-88-73-54-70-86-87-91-24-32-33-74-10-46-5-11-79-27-19-37-93-95-49-51-80-65-62-71-68-61-29-44-36-81-48-90-83
1000,4,25757.86300206736,https://autarc.github.io/traveling-salesman-problem/#50-19-56-46-16-55-25-24-2-86-97-69-80-81-57-49-1-62-15-17-38-66-58-84-88-77-33-76-93-59-98-27-10-26-63-71-22-34-47-3-68-51-82-32-87-18-8-60-5-29-43-41-73-72-70-54-4-79-6-23-45-11-65-64-94-95-28-37-53-78-74-20-14-85-12-67-31-89-35-44-100-52-42-7-40-96-39-9-21-75-13-91-90-83-48-30-61-36-99-92
